;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;
;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;
;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;
Белово;34664.92;346.65;100.00;686.32;6.86;1.98;599.58;6.00;1.73;8451.20;84.51;24.38;23637.33;236.37;68.19;807.25;8.07;2.33;387.02;3.87;1.12;33.79;0.34;0.10;62.42;0.62;0.18;34664.92;346.65;100.00;686.28;6.86;1.98;589.05;5.89;1.70;6707.37;67.07;19.35;20849.80;208.50;60.15;804.45;8.04;2.32;4931.81;49.32;14.23;33.79;0.34;0.10;62.37;0.62;0.18;34664.92;346.65;100.00;677.65;6.78;1.95;590.34;5.90;1.70;6714.70;67.15;19.37;20849.80;208.50;60.15;804.45;8.04;2.32;4931.81;49.32;14.23;33.79;0.34;0.10;62.37;0.62;0.18;34664.86;346.65;100.00;647.26;6.47;1.87;658.22;6.58;1.90;6717.04;67.17;19.38;20861.00;208.61;60.18;815.38;8.15;2.35;4931.98;49.32;14.23;33.77;0.34;0.10;0.20;0.00;0.00;
Брацигово;22949.58;229.50;100.00;663.78;6.64;2.89;478.60;4.79;2.09;9229.95;92.30;40.22;11425.58;114.26;49.79;448.49;4.48;1.95;685.53;6.86;2.99;17.65;0.18;0.08;0.01;0.00;0.00;22949.58;229.50;100.00;662.52;6.63;2.89;483.57;4.84;2.11;9221.45;92.21;40.18;11430.36;114.30;49.81;448.49;4.48;1.95;685.53;6.86;2.99;17.65;0.18;0.08;0.01;0.00;0.00;22949.58;229.50;100.00;663.06;6.63;2.89;483.67;4.84;2.11;9218.78;92.19;40.17;11432.41;114.32;49.82;448.49;4.48;1.95;685.53;6.86;2.99;17.65;0.18;0.08;0.01;0.00;0.00;22949.58;229.50;100.00;688.98;6.89;3.00;483.30;4.83;2.11;9256.05;92.56;40.33;11369.70;113.70;49.54;448.37;4.48;1.95;685.53;6.86;2.99;17.65;0.18;0.08;-;-;0.00;
Велинград;60505.89;605.06;100.00;1100.33;11.00;1.82;698.87;6.99;1.16;7845.22;78.45;12.97;50496.65;504.97;83.46;246.20;2.46;0.41;4.60;0.05;0.01;16.19;0.16;0.03;97.82;0.98;0.16;60505.89;605.06;100.00;1101.67;11.02;1.82;700.07;7.00;1.16;7767.59;77.68;12.84;50571.73;505.72;83.58;246.22;2.46;0.41;4.60;0.05;0.01;16.19;0.16;0.03;97.82;0.98;0.16;60505.89;605.06;100.00;1101.18;11.01;1.82;700.45;7.00;1.16;7767.66;77.68;12.84;50571.68;505.72;83.58;246.30;2.46;0.41;4.60;0.05;0.01;16.19;0.16;0.03;97.82;0.98;0.16;60505.89;605.06;100.00;1105.35;11.05;1.83;700.62;7.01;1.16;7708.43;77.08;12.74;50625.65;506.26;83.67;247.34;2.47;0.41;4.60;0.05;0.01;16.07;0.16;0.03;97.82;0.98;0.16;
Лесичово;20955.50;209.56;100.00;534.31;5.34;2.55;518.57;5.19;2.47;8714.20;87.14;41.58;5102.22;51.02;24.35;402.58;4.03;1.92;44.06;0.44;0.21;5.26;0.05;0.03;5634.30;56.34;26.89;20955.50;209.56;100.00;587.57;5.88;2.80;518.57;5.19;2.47;8660.94;86.61;41.33;5102.22;51.02;24.35;402.58;4.03;1.92;44.06;0.44;0.21;5.26;0.05;0.03;5634.30;56.34;26.89;20955.50;209.56;100.00;708.82;7.09;3.38;691.24;6.91;3.30;11472.81;114.73;54.75;7540.93;75.41;35.99;468.33;4.68;2.23;57.87;0.58;0.28;15.40;0.15;0.07;0.10;0.00;0.00;20955.54;209.56;100.00;775.84;7.76;3.70;691.25;6.91;3.30;11341.61;113.42;54.12;7534.32;75.34;35.95;481.41;4.81;2.30;57.87;0.58;0.28;73.14;0.73;0.35;0.10;0.00;0.00;
Пазарджик;63699.83;637.00;100.00;4838.82;48.39;7.60;3815.59;38.16;5.99;43443.67;434.44;68.20;7796.01;77.96;12.24;3487.28;34.87;5.47;43.61;0.44;0.07;270.47;2.70;0.42;4.37;0.04;0.01;63699.83;637.00;100.00;5109.24;51.09;8.02;3924.38;39.24;6.16;43065.76;430.66;67.61;7794.64;77.95;12.24;3483.60;34.84;5.47;43.61;0.44;0.07;274.23;2.74;0.43;4.37;0.04;0.01;63699.83;637.00;100.00;5343.76;53.44;8.39;3807.40;38.07;5.98;42955.53;429.56;67.43;7787.36;77.87;12.23;3483.57;34.84;5.47;43.61;0.44;0.07;274.23;2.74;0.43;4.37;0.04;0.01;63699.80;637.00;100.00;5595.96;55.96;8.78;3809.12;38.09;5.98;42730.99;427.31;67.08;7746.88;77.47;12.16;3491.65;34.92;5.48;43.61;0.44;0.07;277.25;2.77;0.44;4.35;0.04;0.01;
Панагюрище;59921.04;599.21;100.00;1530.69;15.31;2.55;1449.26;14.49;2.42;23519.87;235.20;39.25;31100.85;311.01;51.90;847.50;8.47;1.41;40.99;0.41;0.07;1363.70;13.64;2.28;68.19;0.68;0.11;59921.04;599.21;100.00;1530.98;15.31;2.56;1449.76;14.50;2.42;23519.50;235.19;39.25;31100.85;311.01;51.90;847.50;8.47;1.41;40.56;0.41;0.07;1363.70;13.64;2.28;68.19;0.68;0.11;59921.04;599.21;100.00;1531.80;15.32;2.56;1450.85;14.51;2.42;23513.01;235.13;39.24;31103.06;311.03;51.91;849.87;8.50;1.42;40.56;0.41;0.07;1363.70;13.64;2.28;68.19;0.68;0.11;59921.01;599.21;100.00;1528.83;15.29;2.55;1471.17;14.71;2.46;23431.52;234.32;39.10;31158.58;311.59;52.00;849.84;8.50;1.42;40.55;0.41;0.07;1363.68;13.64;2.28;76.84;0.77;0.13;
Пещера;13548.70;135.49;100.00;748.62;7.49;5.53;388.24;3.88;2.87;5066.54;50.67;37.39;6067.31;60.67;44.78;119.22;1.19;0.88;1093.46;10.93;8.07;64.90;0.65;0.48;0.42;0.00;0.00;13548.70;135.49;100.00;753.70;7.54;5.56;388.65;3.89;2.87;5061.71;50.62;37.36;6067.30;60.67;44.78;118.56;1.19;0.88;1093.46;10.93;8.07;64.90;0.65;0.48;0.42;0.00;0.00;13548.70;135.49;100.00;906.48;9.06;6.69;387.74;3.88;2.86;4909.95;49.10;36.24;6067.30;60.67;44.78;118.56;1.19;0.88;1093.46;10.93;8.07;64.79;0.65;0.48;0.42;0.00;0.00;13548.70;135.49;100.00;906.72;9.07;6.69;388.03;3.88;2.86;4916.25;49.16;36.29;6060.47;60.60;44.73;118.56;1.19;0.88;1093.46;10.93;8.07;64.79;0.65;0.48;0.42;0.00;0.00;
Ракитово;24627.86;246.28;100.00;489.47;4.89;1.99;339.88;3.40;1.38;4198.92;41.99;17.05;18397.78;183.98;74.70;93.63;0.94;0.38;1099.76;11.00;4.47;7.23;0.07;0.03;1.19;0.01;0.00;24627.86;246.28;100.00;490.99;4.91;1.99;339.87;3.40;1.38;4196.46;41.96;17.04;18398.76;183.99;74.71;93.63;0.94;0.38;1099.72;11.00;4.47;7.23;0.07;0.03;1.19;0.01;0.00;24627.86;246.28;100.00;491.96;4.92;2.00;340.20;3.40;1.38;4194.63;41.95;17.03;18399.57;184.00;74.71;93.36;0.93;0.38;1099.72;11.00;4.47;7.23;0.07;0.03;1.19;0.01;0.00;24627.86;246.28;100.00;493.25;4.93;2.00;341.41;3.41;1.39;4193.16;41.93;17.03;18398.54;183.99;74.71;93.36;0.93;0.38;1099.72;11.00;4.47;7.23;0.07;0.03;1.19;0.01;0.00;
Септември;34959.26;349.59;100.00;1855.06;18.55;5.31;1467.92;14.68;4.20;19144.02;191.44;54.76;11256.04;112.56;32.20;1104.07;11.04;3.16;61.52;0.62;0.18;48.80;0.49;0.14;21.82;0.22;0.06;34959.26;349.59;100.00;1851.22;18.51;5.30;1481.55;14.82;4.24;19144.51;191.45;54.76;11247.59;112.48;32.17;1102.26;11.02;3.15;61.52;0.62;0.18;48.80;0.49;0.14;21.81;0.22;0.06;34959.26;349.59;100.00;1856.13;18.56;5.31;1481.77;14.82;4.24;19139.20;191.39;54.75;11247.59;112.48;32.17;1102.45;11.02;3.15;61.52;0.62;0.18;48.80;0.49;0.14;21.80;0.22;0.06;34959.23;349.59;100.00;1858.38;18.58;5.32;1481.73;14.82;4.24;19136.14;191.36;54.74;11245.18;112.45;32.17;1102.86;11.03;3.15;61.52;0.62;0.18;51.62;0.52;0.15;21.80;0.22;0.06;
Стрелча;22450.27;224.50;100.00;524.57;5.25;2.34;471.76;4.72;2.10;12709.55;127.10;56.61;8554.77;85.55;38.11;134.34;1.34;0.60;15.34;0.15;0.07;31.52;0.32;0.14;8.41;0.08;0.04;22450.27;224.50;100.00;515.32;5.15;2.30;472.51;4.73;2.10;12716.29;127.16;56.64;8554.77;85.55;38.11;136.10;1.36;0.61;15.34;0.15;0.07;31.52;0.32;0.14;8.41;0.08;0.04;22450.27;224.50;100.00;515.32;5.15;2.30;474.12;4.74;2.11;12422.13;124.22;55.33;8847.41;88.47;39.41;136.10;1.36;0.61;15.25;0.15;0.07;31.52;0.32;0.14;8.41;0.08;0.04;22450.27;224.50;100.00;516.55;5.17;2.30;475.53;4.76;2.12;12411.91;124.12;55.29;8856.80;88.57;39.45;135.11;1.35;0.60;15.25;0.15;0.07;30.71;0.31;0.14;8.41;0.08;0.04;
Сърница;19801.06;198.01;100.00;227.90;2.28;1.15;172.24;1.72;0.87;1971.30;19.71;9.96;16070.38;160.70;81.16;1321.70;13.22;6.67;0.06;0.00;0.00;11.52;0.12;0.06;25.96;0.26;0.13;19801.06;198.01;100.00;227.96;2.28;1.15;172.24;1.72;0.87;1842.78;18.43;9.31;16199.67;162.00;81.81;1321.70;13.22;6.67;0.06;0.00;0.00;10.70;0.11;0.05;25.96;0.26;0.13;19801.06;198.01;100.00;228.34;2.28;1.15;172.44;1.72;0.87;1842.39;18.42;9.30;16199.44;161.99;81.81;1321.73;13.22;6.68;0.06;0.00;0.00;10.70;0.11;0.05;25.96;0.26;0.13;19801.06;198.01;100.00;228.45;2.28;1.15;174.68;1.75;0.88;1834.52;18.35;9.26;16204.57;162.05;81.84;1321.73;13.22;6.68;0.06;0.00;0.00;11.10;0.11;0.06;25.96;0.26;0.13;
Пловдив;596119.08;5961.19;100.00;32746.82;327.47;5.49;20429.64;204.30;3.43;314998.23;3149.98;52.84;195034.13;1950.34;32.72;16900.88;169.01;2.84;3184.60;31.85;0.53;1007.36;10.07;0.17;11817.43;118.17;1.98;596119.02;5961.19;100.00;32884.58;328.85;5.52;20545.10;205.45;3.45;314616.44;3146.16;52.78;195157.31;1951.57;32.74;16904.46;169.04;2.84;3188.75;31.89;0.53;1005.62;10.06;0.17;11816.75;118.17;1.98;596119.02;5961.19;100.00;34259.43;342.59;5.75;20782.20;207.82;3.49;307012.29;3070.12;51.50;182579.47;1825.79;30.63;17290.41;172.90;2.90;28461.73;284.62;4.77;1016.74;10.17;0.17;4716.75;47.17;0.79;596119.54;5961.20;100.00;34717.54;347.18;5.82;21164.84;211.65;3.55;309175.71;3091.76;51.86;183206.32;1832.06;30.73;17437.80;174.38;2.93;28461.56;284.62;4.77;1026.11;10.26;0.17;929.66;9.30;0.16;
Асеновград;65306.93;653.07;100.00;2819.16;28.19;4.32;1734.89;17.35;2.66;27466.83;274.67;42.06;29625.29;296.25;45.36;1178.20;11.78;1.80;2252.11;22.52;3.45;225.48;2.25;0.35;4.98;0.05;0.01;65306.93;653.07;100.00;2831.88;28.32;4.34;1740.85;17.41;2.67;27446.82;274.47;42.03;29624.90;296.25;45.36;1179.91;11.80;1.81;2252.11;22.52;3.45;225.48;2.25;0.35;4.98;0.05;0.01;65306.93;653.07;100.00;2847.26;28.47;4.36;1741.51;17.42;2.67;27389.95;273.90;41.94;29664.87;296.65;45.42;1180.78;11.81;1.81;2252.11;22.52;3.45;225.46;2.25;0.35;4.98;0.05;0.01;65306.93;653.07;100.00;2888.29;28.88;4.42;1744.22;17.44;2.67;27261.98;272.62;41.74;29728.31;297.28;45.52;1203.48;12.03;1.84;2252.11;22.52;3.45;223.55;2.24;0.34;4.98;0.05;0.01;
Брезово;46537.43;465.37;100.00;1580.54;15.81;3.40;1238.04;12.38;2.66;27494.08;274.94;59.08;14825.58;148.26;31.86;1341.73;13.42;2.88;2.96;0.03;0.01;54.50;0.54;0.12;0.00;0.00;0.00;46537.43;465.37;100.00;1571.19;15.71;3.38;1238.05;12.38;2.66;27503.42;275.03;59.10;14825.58;148.26;31.86;1341.73;13.42;2.88;2.96;0.03;0.01;54.50;0.54;0.12;0.00;0.00;0.00;46537.43;465.37;100.00;1571.33;15.71;3.38;1238.16;12.38;2.66;27177.25;271.77;58.40;15152.12;151.52;32.56;1341.12;13.41;2.88;2.96;0.03;0.01;54.50;0.54;0.12;0.00;0.00;0.00;46537.43;465.37;100.00;1569.13;15.69;3.37;1238.16;12.38;2.66;27128.39;271.28;58.29;15206.76;152.07;32.68;1340.16;13.40;2.88;2.96;0.03;0.01;51.87;0.52;0.11;-;-;0.00;
Калояново;34759.96;347.60;100.00;2145.05;21.45;6.17;1277.98;12.78;3.68;24791.20;247.91;71.32;4906.18;49.06;14.11;1528.05;15.28;4.40;9.83;0.10;0.03;101.66;1.02;0.29;0.02;0.00;0.00;34759.96;347.60;100.00;2176.29;21.76;6.26;1277.84;12.78;3.68;24731.75;247.32;71.15;4931.35;49.31;14.19;1528.04;15.28;4.40;9.83;0.10;0.03;104.85;1.05;0.30;0.02;0.00;0.00;34759.96;347.60;100.00;2280.19;22.80;6.56;1261.88;12.62;3.63;24634.72;246.35;70.87;4940.43;49.40;14.21;1528.06;15.28;4.40;9.83;0.10;0.03;104.85;1.05;0.30;0.00;0.00;0.00;34759.94;347.60;100.00;2281.74;22.82;6.56;1262.14;12.62;3.63;24613.04;246.13;70.81;4956.81;49.57;14.26;1531.54;15.32;4.41;9.83;0.10;0.03;104.85;1.05;0.30;-;-;0.00;
Карлово;103914.74;1039.15;100.00;3524.28;35.24;3.39;2125.78;21.26;2.05;45577.58;455.78;43.86;51515.97;515.16;49.58;1095.00;10.95;1.05;11.16;0.11;0.01;64.59;0.65;0.06;0.38;0.00;0.00;103914.73;1039.15;100.00;3519.42;35.19;3.39;2131.49;21.31;2.05;45551.81;455.52;43.84;51540.91;515.41;49.60;1095.00;10.95;1.05;11.16;0.11;0.01;64.58;0.65;0.06;0.38;0.00;0.00;103914.73;1039.15;100.00;3738.20;37.38;3.60;2090.41;20.90;2.01;34213.54;342.14;32.92;39463.45;394.63;37.98;1094.83;10.95;1.05;23249.36;232.49;22.37;64.58;0.65;0.06;0.38;0.00;0.00;103914.74;1039.15;100.00;3791.26;37.91;3.65;2115.21;21.15;2.04;34129.52;341.30;32.84;39489.97;394.90;38.00;1077.08;10.77;1.04;23249.36;232.49;22.37;61.95;0.62;0.06;0.38;0.00;0.00;
Кричим;5491.31;54.91;100.00;179.76;1.80;3.27;168.15;1.68;3.06;1870.47;18.70;34.06;3051.87;30.52;55.58;184.81;1.85;3.37;32.73;0.33;0.60;3.51;0.04;0.06;0.00;0.00;0.00;5491.31;54.91;100.00;179.75;1.80;3.27;168.15;1.68;3.06;1870.47;18.70;34.06;3051.87;30.52;55.58;184.81;1.85;3.37;32.73;0.33;0.60;3.51;0.04;0.06;0.00;0.00;0.00;5491.31;54.91;100.00;179.72;1.80;3.27;168.18;1.68;3.06;1870.47;18.70;34.06;3051.87;30.52;55.58;184.81;1.85;3.37;32.73;0.33;0.60;3.51;0.04;0.06;0.00;0.00;0.00;5491.31;54.91;100.00;180.60;1.81;3.29;183.45;1.83;3.34;1869.42;18.69;34.04;3036.80;30.37;55.30;184.80;1.85;3.37;32.73;0.33;0.60;3.51;0.04;0.06;-;-;0.00;
Куклен;14763.37;147.63;100.00;694.22;6.94;4.70;330.01;3.30;2.24;4449.97;44.50;30.14;9209.96;92.10;62.38;53.03;0.53;0.36;0.65;0.01;0.00;25.53;0.26;0.17;0.00;0.00;0.00;14763.37;147.63;100.00;713.58;7.14;4.83;330.33;3.30;2.24;4402.30;44.02;29.82;9237.95;92.38;62.57;53.03;0.53;0.36;0.65;0.01;0.00;25.53;0.26;0.17;0.00;0.00;0.00;14763.37;147.63;100.00;726.73;7.27;4.92;333.98;3.34;2.26;4356.61;43.57;29.51;9271.55;92.72;62.80;48.33;0.48;0.33;0.65;0.01;0.00;25.53;0.26;0.17;0.00;0.00;0.00;14763.37;147.63;100.00;759.27;7.59;5.14;336.01;3.36;2.28;4255.07;42.55;28.82;9330.40;93.30;63.20;48.90;0.49;0.33;0.65;0.01;0.00;33.08;0.33;0.22;-;-;0.00;
Лъки;28087.03;280.87;100.00;317.91;3.18;1.13;261.34;2.61;0.93;4919.63;49.20;17.52;21650.83;216.51;77.08;111.81;1.12;0.40;801.01;8.01;2.85;24.49;0.24;0.09;0.00;0.00;0.00;28086.97;280.87;100.00;318.07;3.18;1.13;261.34;2.61;0.93;4919.47;49.19;17.52;21650.78;216.51;77.08;111.81;1.12;0.40;801.01;8.01;2.85;24.49;0.24;0.09;0.00;0.00;0.00;28086.97;280.87;100.00;318.47;3.18;1.13;261.21;2.61;0.93;4918.95;49.19;17.51;21650.60;216.51;77.08;109.53;1.10;0.39;801.01;8.01;2.85;27.21;0.27;0.10;0.00;0.00;0.00;28086.97;280.87;100.00;318.45;3.18;1.13;261.23;2.61;0.93;4909.41;49.09;17.48;21657.57;216.58;77.11;104.84;1.05;0.37;801.01;8.01;2.85;34.47;0.34;0.12;-;-;0.00;
Марица;34267.27;342.67;100.00;3429.95;34.30;10.01;2699.68;27.00;7.88;25630.80;256.31;74.80;640.00;6.40;1.87;1816.89;18.17;5.30;19.70;0.20;0.06;29.98;0.30;0.09;0.29;0.00;0.00;34267.27;342.67;100.00;3459.01;34.59;10.09;2705.32;27.05;7.89;25578.78;255.79;74.64;661.77;6.62;1.93;1812.28;18.12;5.29;19.70;0.20;0.06;30.12;0.30;0.09;0.29;0.00;0.00;34267.27;342.67;100.00;3550.99;35.51;10.36;2711.78;27.12;7.91;25486.94;254.87;74.38;661.89;6.62;1.93;1805.85;18.06;5.27;19.70;0.20;0.06;30.12;0.30;0.09;0.00;0.00;0.00;34266.98;342.67;100.00;3592.03;35.92;10.48;2720.02;27.20;7.94;25446.65;254.47;74.26;661.75;6.62;1.93;1796.80;17.97;5.24;19.70;0.20;0.06;30.02;0.30;0.09;-;-;0.00;
Перущица;4872.63;48.73;100.00;189.66;1.90;3.89;182.76;1.83;3.75;2636.48;26.36;54.11;1688.97;16.89;34.66;139.00;1.39;2.85;3.81;0.04;0.08;31.95;0.32;0.66;0.00;0.00;0.00;4872.63;48.73;100.00;190.55;1.91;3.91;182.81;1.83;3.75;2635.53;26.36;54.09;1688.97;16.89;34.66;139.00;1.39;2.85;3.81;0.04;0.08;31.95;0.32;0.66;0.00;0.00;0.00;4872.63;48.73;100.00;191.34;1.91;3.93;183.12;1.83;3.76;2634.43;26.34;54.07;1688.97;16.89;34.66;139.00;1.39;2.85;3.81;0.04;0.08;31.95;0.32;0.66;0.00;0.00;0.00;4872.63;48.73;100.00;271.60;2.72;5.57;183.16;1.83;3.76;2562.22;25.62;52.58;1680.89;16.81;34.50;139.00;1.39;2.85;3.81;0.04;0.08;31.95;0.32;0.66;-;-;0.00;
Пловдив;10192.52;101.93;100.00;4850.82;48.51;47.59;1512.81;15.13;14.84;3257.27;32.57;31.96;19.25;0.19;0.19;527.12;5.27;5.17;24.60;0.25;0.24;0.61;0.01;0.01;0.04;0.00;0.00;10192.52;101.93;100.00;4870.86;48.71;47.79;1521.84;15.22;14.93;3228.56;32.29;31.68;19.25;0.19;0.19;526.76;5.27;5.17;24.60;0.25;0.24;0.61;0.01;0.01;0.04;0.00;0.00;10192.52;101.93;100.00;4891.90;48.92;48.00;1530.52;15.31;15.02;3199.69;32.00;31.39;18.39;0.18;0.18;526.76;5.27;5.17;24.60;0.25;0.24;0.61;0.01;0.01;0.04;0.00;0.00;10192.30;101.92;100.00;4899.79;49.00;48.07;1533.24;15.33;15.04;3189.80;31.90;31.30;17.29;0.17;0.17;527.11;5.27;5.17;24.43;0.24;0.24;0.61;0.01;0.01;0.04;0.00;0.00;
Първомай;53378.37;533.78;100.00;2071.78;20.72;3.88;1459.52;14.60;2.73;32628.19;326.28;61.13;9157.29;91.57;17.16;1409.89;14.10;2.64;1.67;0.02;0.00;63.97;0.64;0.12;6586.06;65.86;12.34;53378.37;533.78;100.00;2137.17;21.37;4.00;1459.65;14.60;2.73;32545.28;325.45;60.97;9160.54;91.61;17.16;1424.03;14.24;2.67;1.67;0.02;0.00;63.97;0.64;0.12;6586.06;65.86;12.34;53378.37;533.78;100.00;2400.99;24.01;4.50;1549.08;15.49;2.90;34715.74;347.16;65.04;9287.44;92.87;17.40;1570.10;15.70;2.94;2.05;0.02;0.00;63.97;0.64;0.12;3789.01;37.89;7.10;53378.86;533.79;100.00;2639.61;26.40;4.95;1672.34;16.72;3.13;37600.31;376.00;70.44;9647.97;96.48;18.07;1751.42;17.51;3.28;2.05;0.02;0.00;62.78;0.63;0.12;2.39;0.02;0.00;
Раковски;26395.15;263.95;100.00;1636.83;16.37;6.20;907.86;9.08;3.44;18068.95;180.69;68.46;276.98;2.77;1.05;1189.57;11.90;4.51;3.17;0.03;0.01;13.62;0.14;0.05;4298.16;42.98;16.28;26395.15;263.95;100.00;1642.36;16.42;6.22;909.95;9.10;3.45;18068.66;180.69;68.45;276.98;2.77;1.05;1182.25;11.82;4.48;3.17;0.03;0.01;13.62;0.14;0.05;4298.16;42.98;16.28;26395.15;263.95;100.00;2139.93;21.40;8.11;1084.17;10.84;4.11;21192.70;211.93;80.29;524.90;5.25;1.99;1436.53;14.37;5.44;3.31;0.03;0.01;13.62;0.14;0.05;0.00;0.00;0.00;26395.45;263.95;100.00;2145.10;21.45;8.13;1084.45;10.84;4.11;21182.87;211.83;80.25;505.55;5.06;1.92;1460.55;14.61;5.53;3.31;0.03;0.01;13.62;0.14;0.05;-;-;0.00;
Родопи;52434.85;524.35;100.00;3087.34;30.87;5.89;2562.65;25.63;4.89;22524.69;225.25;42.96;23039.01;230.39;43.94;1091.61;10.92;2.08;7.08;0.07;0.01;115.76;1.16;0.22;6.71;0.07;0.01;52434.85;524.35;100.00;3156.21;31.56;6.02;2574.37;25.74;4.91;22446.70;224.47;42.81;23038.85;230.39;43.94;1089.84;10.90;2.08;7.08;0.07;0.01;115.76;1.16;0.22;6.03;0.06;0.01;52434.85;524.35;100.00;3248.87;32.49;6.20;2586.83;25.87;4.93;22300.63;223.01;42.53;23084.73;230.85;44.03;1089.43;10.89;2.08;7.08;0.07;0.01;115.74;1.16;0.22;1.54;0.02;0.00;52435.06;524.35;100.00;3377.85;33.78;6.44;2603.14;26.03;4.96;22145.57;221.46;42.23;23078.52;230.79;44.01;1106.11;11.06;2.11;7.08;0.07;0.01;115.74;1.16;0.22;1.05;0.01;0.00;
Садово;19283.77;192.84;100.00;1451.30;14.51;7.53;1037.54;10.38;5.38;15047.28;150.47;78.03;620.20;6.20;3.22;1078.11;10.78;5.59;1.90;0.02;0.01;47.45;0.47;0.25;0.00;0.00;0.00;19283.77;192.84;100.00;1454.87;14.55;7.54;1038.33;10.38;5.38;15042.92;150.43;78.01;620.20;6.20;3.22;1078.11;10.78;5.59;1.90;0.02;0.01;47.45;0.47;0.25;0.00;0.00;0.00;19283.77;192.84;100.00;1461.18;14.61;7.58;1038.92;10.39;5.39;15023.17;150.23;77.91;625.42;6.25;3.24;1078.11;10.78;5.59;1.90;0.02;0.01;55.08;0.55;0.29;0.00;0.00;0.00;19283.77;192.84;100.00;1463.56;14.64;7.59;1038.99;10.39;5.39;15017.70;150.18;77.88;703.30;7.03;3.65;1000.23;10.00;5.19;1.90;0.02;0.01;58.09;0.58;0.30;-;-;0.00;
Сопот;5632.85;56.33;100.00;346.01;3.46;6.14;159.99;1.60;2.84;2447.05;24.47;43.44;2662.53;26.63;47.27;13.68;0.14;0.24;0.85;0.01;0.02;2.71;0.03;0.05;0.02;0.00;0.00;5632.85;56.33;100.00;346.92;3.47;6.16;159.99;1.60;2.84;2425.37;24.25;43.06;2683.30;26.83;47.64;13.68;0.14;0.24;0.85;0.01;0.02;2.71;0.03;0.05;0.02;0.00;0.00;5632.85;56.33;100.00;389.42;3.89;6.91;157.57;1.58;2.80;1942.08;19.42;34.48;1092.25;10.92;19.39;13.68;0.14;0.24;2035.11;20.35;36.13;2.71;0.03;0.05;0.02;0.00;0.00;5632.85;56.33;100.00;393.66;3.94;6.99;157.90;1.58;2.80;1936.19;19.36;34.37;1093.47;10.93;19.41;13.78;0.14;0.24;2035.11;20.35;36.13;2.71;0.03;0.05;0.02;0.00;0.00;
